2020-12-16T17:34:58.285073+0200 parsing page1 of 1... INFO
2020-12-16T17:34:59.323223+0200 we get 2 laptops INFO
%(asctime)s;%(levelname)s;%(message)s
%(asctime)s;%(levelname)s;%(message)s
2020-12-17T21:06:46.802757+0200 we get 2 laptops apple INFO
2020-12-17T21:11:16.343119+0200 parsing page 1 of 1... INFO
2020-12-17T21:11:17.441823+0200 we get 2 laptops apple INFO
2020-12-17T21:31:56.200433+0200 parsing page 1 of 1... INFO
2020-12-17T21:31:57.255190+0200 we get 2 laptops apple INFO
2020-12-17T21:32:01.409226+0200 parsing page 1 of 1... INFO
2020-12-17T21:32:02.048652+0200 we get 1 laptops sony INFO
2020-12-17T22:24:15.407128+0200 parsing page 1 of 1... INFO
2020-12-17T22:24:16.100976+0200 we get 2 laptops apple INFO
2020-12-17T22:24:22.192020+0200 parsing page 1 of 1... INFO
2020-12-17T22:24:22.769304+0200 we get 1 laptops sony INFO
2020-12-17T22:29:34.021994+0200 parsing page 1 of 1... INFO
2020-12-17T22:29:34.897291+0200 we get 2 laptops apple INFO
2020-12-17T22:30:17.536646+0200 parsing page 1 of 1... INFO
2020-12-17T22:30:18.574410+0200 we get 2 laptops apple INFO
2020-12-17T22:30:22.420512+0200 parsing page 1 of 1... INFO
2020-12-17T22:30:23.379369+0200 we get 1 laptops sony INFO
2020-12-17T22:32:04.829662+0200 parsing page 1 of 1... DEBUG
2020-12-17T22:32:05.838178+0200 we get 2 laptops apple DEBUG
2020-12-17T22:44:21.367075+0200 parsing page 1 of 1... DEBUG
2020-12-17T22:44:22.115682+0200 we get 2 laptops apple DEBUG
2020-12-17T22:44:27.775932+0200 parsing page 1 of 1... DEBUG
2020-12-17T22:44:28.396996+0200 we get 1 laptops sony DEBUG
2020-12-20T18:22:49.735949+0200 parsing page 1 of 1... DEBUG
2020-12-20T18:22:51.056676+0200 we get 2 laptops apple DEBUG
2020-12-20T18:25:01.109357+0200 parsing page 1 of 1... DEBUG
2020-12-20T18:25:01.857034+0200 we get 1 laptops sony DEBUG
2020-12-20T18:25:17.989361+0200 parsing page 1 of 7... DEBUG
2020-12-20T18:25:17.989735+0200 parsing page 2 of 7... DEBUG
2020-12-20T18:25:17.989833+0200 parsing page 3 of 7... DEBUG
2020-12-20T18:25:17.989909+0200 parsing page 4 of 7... DEBUG
2020-12-20T18:25:17.990045+0200 parsing page 5 of 7... DEBUG
2020-12-20T18:25:17.990118+0200 parsing page 6 of 7... DEBUG
2020-12-20T18:25:17.990489+0200 parsing page 7 of 7... DEBUG
2020-12-20T18:25:23.018704+0200 we get 413 laptops acer DEBUG
2020-12-20T18:27:55.672614+0200 parsing page 1 of 1... DEBUG
2020-12-20T18:27:56.923764+0200 we get 2 laptops apple DEBUG
2020-12-20T18:28:02.780720+0200 parsing page 1 of 34... DEBUG
2020-12-20T18:28:02.780978+0200 parsing page 2 of 34... DEBUG
2020-12-20T18:28:02.781074+0200 parsing page 3 of 34... DEBUG
2020-12-20T18:28:02.781149+0200 parsing page 4 of 34... DEBUG
2020-12-20T18:28:02.781219+0200 parsing page 5 of 34... DEBUG
2020-12-20T18:28:02.781287+0200 parsing page 6 of 34... DEBUG
2020-12-20T18:28:02.781355+0200 parsing page 7 of 34... DEBUG
2020-12-20T18:28:02.781425+0200 parsing page 8 of 34... DEBUG
2020-12-20T18:28:02.781496+0200 parsing page 9 of 34... DEBUG
2020-12-20T18:28:02.781569+0200 parsing page 10 of 34... DEBUG
2020-12-20T18:28:02.781634+0200 parsing page 11 of 34... DEBUG
2020-12-20T18:28:02.781698+0200 parsing page 12 of 34... DEBUG
2020-12-20T18:28:02.781813+0200 parsing page 13 of 34... DEBUG
2020-12-20T18:28:02.781895+0200 parsing page 14 of 34... DEBUG
2020-12-20T18:28:02.781960+0200 parsing page 15 of 34... DEBUG
2020-12-20T18:28:02.782024+0200 parsing page 16 of 34... DEBUG
2020-12-20T18:28:02.782087+0200 parsing page 17 of 34... DEBUG
2020-12-20T18:28:02.782151+0200 parsing page 18 of 34... DEBUG
2020-12-20T18:28:02.782215+0200 parsing page 19 of 34... DEBUG
2020-12-20T18:28:02.782282+0200 parsing page 20 of 34... DEBUG
2020-12-20T18:28:02.782394+0200 parsing page 21 of 34... DEBUG
2020-12-20T18:28:02.782459+0200 parsing page 22 of 34... DEBUG
2020-12-20T18:28:02.782522+0200 parsing page 23 of 34... DEBUG
2020-12-20T18:28:02.782586+0200 parsing page 24 of 34... DEBUG
